team,win_odds,final_odds,semi_odds,round16_odds,elo_rating
Spain,0.1675,0.2023,0.2675,1.0,2171.0
Argentina,0.1073,0.1354,0.1915,1.0,2113.0
France,0.0727,0.0932,0.1485,1.0,2062.0
England,0.0676,0.0901,0.143,1.0,2042.0
Colombia,0.0454,0.0678,0.1312,1.0,1998.0
Brazil,0.0429,0.0667,0.1338,1.0,1979.0
Portugal,0.0426,0.064,0.1342,1.0,1976.0
Netherlands,0.0379,0.0605,0.1326,1.0,1959.0
Ecuador,0.033,0.0585,0.1271,1.0,1933.0
Croatia,0.0311,0.0592,0.1289,1.0,1933.0
Norway,0.0303,0.0585,0.1277,1.0,1922.0
Germany,0.0283,0.0543,0.1292,1.0,1910.0
Uruguay,0.0275,0.0602,0.1264,1.0,1890.0
Japan,0.027,0.0601,0.1231,1.0,1878.0
Switzerland,0.0239,0.0559,0.1282,1.0,1897.0
Mexico,0.0215,0.0639,0.123,0.9995,1835.0
Belgium,0.0209,0.0624,0.1254,0.9998,1849.0
Austria,0.0193,0.0607,0.1206,0.9987,1818.0
Morocco,0.019,0.0617,0.1207,0.9995,1830.0
Senegal,0.0184,0.0601,0.1225,0.9981,1803.0
Scotland,0.0174,0.0589,0.1229,0.996,1790.0
Paraguay,0.0172,0.0565,0.1152,0.9992,1833.0
Canada,0.0144,0.0555,0.1161,0.9976,1802.0
Australia,0.0117,0.054,0.1157,0.9892,1774.0
South Korea,0.0117,0.0557,0.1171,0.9934,1784.0
Uzbekistan,0.009,0.0413,0.1024,0.9565,1735.0
Panama,0.009,0.0442,0.1089,0.9609,1742.0
Algeria,0.0077,0.0404,0.1068,0.9362,1726.0
Czechia,0.0074,0.0373,0.0988,0.9444,1731.0
Jordan,0.0045,0.0242,0.0764,0.8123,1687.0
Sweden,0.0019,0.0132,0.0459,0.6665,1660.0
Tunisia,0.0017,0.0105,0.0363,0.5371,1641.0
Saudi Arabia,0.0009,0.0053,0.0191,0.3471,1612.0
New Zealand,0.0005,0.0025,0.0101,0.1959,1586.0
Egypt,0.0005,0.0022,0.0097,0.222,1591.0
Iraq,0.0002,0.0017,0.0071,0.1826,1582.0
South Africa,0.0001,0.0002,0.0011,0.0446,1531.0
Turkiye,0.0001,0.0002,0.0007,0.0177,1500.0
Bosnia,0.0,0.0001,0.0003,0.0186,1500.0
Cabo Verde,0.0,0.0001,0.0004,0.0168,1500.0
DR Congo,0.0,0.0001,0.0002,0.0172,1500.0
Côte d'Ivoire,0.0,0.0,0.0006,0.0177,1500.0
Curaçao,0.0,0.0,0.0,0.0072,1467.0
IR Iran,0.0,0.0,0.0002,0.0165,1500.0
Haiti,0.0,0.0002,0.0018,0.0692,1542.0
Ghana,0.0,0.0002,0.0006,0.0252,1509.0
Qatar,0.0,0.0,0.0,0.0007,1427.0
USA,0.0,0.0,0.0005,0.0161,1500.0
